bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Berlin,2022,Juni,126.5,128.3,157,143.8
Berlin,2022,Juli,112.3,89.7,141.8,105.2
Berlin,2022,August,110,49.9,139.4,62.9
Berlin,2022,September,...,...,...,...
Berlin,2022,Oktober,...,...,...,...
Berlin,2022,November,...,...,...,...
Berlin,2022,Dezember,...,...,...,...
Brandenburg,2020,Januar,90.2,0.6,99,3.3
Brandenburg,2020,Februar,84.3,-2.1,92.8,0.4
Brandenburg,2020,März,61.9,-38.3,68,-36.7
Brandenburg,2020,April,34.2,-66.4,37.7,-65.8
Brandenburg,2020,Mai,49.3,-57.2,54.6,-56.6
Brandenburg,2020,Juni,78.6,-31.9,87.2,-31.1
Brandenburg,2020,Juli,96.6,-13.4,111.5,-8.7
Brandenburg,2020,August,108.3,-13.2,124.6,-8.4
Brandenburg,2020,September,102.3,-11.9,117.8,-7.8
Brandenburg,2020,Oktober,88.2,-16.2,101.5,-12.3
Brandenburg,2020,November,45.5,-55.9,52.1,-54
Brandenburg,2020,Dezember,42.9,-58.9,49.2,-57
Brandenburg,2021,Januar,40.1,-55.5,45.3,-54.2
Brandenburg,2021,Februar,39.9,-52.7,45.2,-51.3
Brandenburg,2021,März,46.4,-25,52.6,-22.6
Brandenburg,2021,April,45.4,32.7,51.7,37.1
Brandenburg,2021,Mai,56.7,15,64.9,18.9
Brandenburg,2021,Juni,80.2,2,93.1,6.8
Brandenburg,2021,Juli,91.4,-5.4,106.5,-4.5
Brandenburg,2021,August,101.8,-6,118.5,-4.9
Brandenburg,2021,September,93.3,-8.8,108.5,-7.9
Brandenburg,2021,Oktober,87.7,-0.6,102.3,0.8
Brandenburg,2021,November,75.8,66.6,88.2,69.3
Brandenburg,2021,Dezember,64,49.2,74.9,52.2
Brandenburg,2022,Januar,100.4,150.4,118.5,161.6
Brandenburg,2022,Februar,98.1,145.9,117,158.8
Brandenburg,2022,März,114.2,146.1,136.9,160.3
Brandenburg,2022,April,124.4,174,150.2,190.5
Brandenburg,2022,Mai,138.7,144.6,170,161.9
Brandenburg,2022,Juni,118.5,47.8,146.8,57.7
Brandenburg,2022,Juli,116.3,27.2,146.5,37.6
Brandenburg,2022,August,118.4,16.3,149.8,26.4
Brandenburg,2022,September,...,...,...,...
Brandenburg,2022,Oktober,...,...,...,...
Brandenburg,2022,November,...,...,...,...
Brandenburg,2022,Dezember,...,...,...,...
Bremen,2020,Januar,79.7,7.1,87.7,10
Bremen,2020,Februar,87.2,12.7,95.9,15.3
Bremen,2020,März,49.9,-45.9,54.9,-44.6
