bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Sachsen-Anhalt,2022,Februar,...,...,...,...
Sachsen-Anhalt,2022,März,...,...,...,...
Sachsen-Anhalt,2022,April,...,...,...,...
Sachsen-Anhalt,2022,Mai,...,...,...,...
Sachsen-Anhalt,2022,Juni,...,...,...,...
Sachsen-Anhalt,2022,Juli,...,...,...,...
Sachsen-Anhalt,2022,August,...,...,...,...
Sachsen-Anhalt,2022,September,...,...,...,...
Sachsen-Anhalt,2022,Oktober,...,...,...,...
Sachsen-Anhalt,2022,November,...,...,...,...
Sachsen-Anhalt,2022,Dezember,...,...,...,...
Schleswig-Holstein,2020,Januar,...,...,...,...
Schleswig-Holstein,2020,Februar,...,...,...,...
Schleswig-Holstein,2020,März,...,...,...,...
Schleswig-Holstein,2020,April,...,...,...,...
Schleswig-Holstein,2020,Mai,...,...,...,...
Schleswig-Holstein,2020,Juni,...,...,...,...
Schleswig-Holstein,2020,Juli,...,...,...,...
Schleswig-Holstein,2020,August,...,...,...,...
Schleswig-Holstein,2020,September,...,...,...,...
Schleswig-Holstein,2020,Oktober,...,...,...,...
Schleswig-Holstein,2020,November,...,...,...,...
Schleswig-Holstein,2020,Dezember,...,...,...,...
Schleswig-Holstein,2021,Januar,...,...,...,...
Schleswig-Holstein,2021,Februar,...,...,...,...
Schleswig-Holstein,2021,März,...,...,...,...
Schleswig-Holstein,2021,April,...,...,...,...
Schleswig-Holstein,2021,Mai,...,...,...,...
Schleswig-Holstein,2021,Juni,...,...,...,...
Schleswig-Holstein,2021,Juli,...,...,...,...
Schleswig-Holstein,2021,August,...,...,...,...
Schleswig-Holstein,2021,September,...,...,...,...
Schleswig-Holstein,2021,Oktober,...,...,...,...
Schleswig-Holstein,2021,November,...,...,...,...
Schleswig-Holstein,2021,Dezember,...,...,...,...
Schleswig-Holstein,2022,Januar,...,...,...,...
Schleswig-Holstein,2022,Februar,...,...,...,...
Schleswig-Holstein,2022,März,...,...,...,...
Schleswig-Holstein,2022,April,...,...,...,...
Schleswig-Holstein,2022,Mai,...,...,...,...
Schleswig-Holstein,2022,Juni,...,...,...,...
Schleswig-Holstein,2022,Juli,...,...,...,...
Schleswig-Holstein,2022,August,...,...,...,...
Schleswig-Holstein,2022,September,...,...,...,...
Schleswig-Holstein,2022,Oktober,...,...,...,...
Schleswig-Holstein,2022,November,...,...,...,...
Schleswig-Holstein,2022,Dezember,...,...,...,...
Thüringen,2020,Januar,83.6,-3.8,91.7,-1.2
Thüringen,2020,Februar,82,-6.4,90.1,-3.9
Thüringen,2020,März,55.9,-40.3,61.4,-38.9
Thüringen,2020,April,28.8,-72.6,31.6,-72.3
Thüringen,2020,Mai,45.1,-59.2,49.9,-58.6
Thüringen,2020,Juni,69.6,-41,77.1,-40.2
Thüringen,2020,Juli,87.9,-18.4,101.2,-13.9
Thüringen,2020,August,91.6,-20.1,105.5,-15.6
Thüringen,2020,September,98.5,-14.9,113.2,-11.1
Thüringen,2020,Oktober,98.1,-9.1,112.6,-5
Thüringen,2020,November,41,-59.1,46.8,-57.5
Thüringen,2020,Dezember,36.5,-68.7,41.7,-67.3
Thüringen,2021,Januar,29.4,-64.8,33.3,-63.7
Thüringen,2021,Februar,30.2,-63.2,34.2,-62
Thüringen,2021,März,40.3,-27.9,45.5,-25.9
Thüringen,2021,April,39.5,37.2,44.8,41.8
Thüringen,2021,Mai,41.6,-7.8,47.4,-5
Thüringen,2021,Juni,72.1,3.6,83.2,7.9
Thüringen,2021,Juli,101.7,15.7,117.5,16.1
Thüringen,2021,August,107.2,17,124.4,17.9
Thüringen,2021,September,112.7,14.4,131.1,15.8
Thüringen,2021,Oktober,100.3,2.2,116.7,3.6
Thüringen,2021,November,73.2,78.5,85.4,82.5
Thüringen,2021,Dezember,66.7,82.7,78.4,88
Thüringen,2022,Januar,60.1,104.4,70.6,112
Thüringen,2022,Februar,64.8,114.6,76.5,123.7
Thüringen,2022,März,...,...,...,...
Thüringen,2022,April,...,...,...,...
Thüringen,2022,Mai,...,...,...,...
Thüringen,2022,Juni,...,...,...,...
Thüringen,2022,Juli,...,...,...,...
Thüringen,2022,August,...,...,...,...
Thüringen,2022,September,...,...,...,...
Thüringen,2022,Oktober,...,...,...,...
Thüringen,2022,November,...,...,...,...
Thüringen,2022,Dezember,...,...,...,...
__________,,,,,,
"© Statistisches Bundesamt (Destatis), 2023",,,,,,
Stand: 07.01.2023 / 21:23:31,,,,,,
