typ,jahr,monat,real,real-bereinigt,nominal,nominal-bereinigt
Gastgewerbe,2021,Dezember,65.1,64.1,76.5,75.6
Gastgewerbe,2022,Januar,66.5,80.2,78.6,95.3
Gastgewerbe,2022,Februar,68.8,83.8,81.9,100.1
Gastgewerbe,2022,März,80.6,86.3,96.3,103.7
Gastgewerbe,2022,April,89.9,91.6,108.6,110.8
Gastgewerbe,2022,Mai,105.3,99.3,128.8,121.1
Gastgewerbe,2022,Juni,104.7,98.8,129.6,121.5
Gastgewerbe,2022,Juli,105.3,96.4,132.4,120.7
Gastgewerbe,2022,August,103,96,130,120.9
Gastgewerbe,2022,September,105.1,95.2,134.3,121.3
Gastgewerbe,2022,Oktober,102.2,95.1,130.6,121.3
Gastgewerbe,2022,November,...,...,...,...
Gastgewerbe,2022,Dezember,...,...,...,...
